median_household_income,state,county
59271,26,111
49135,26,021
40255,26,135
47443,26,039
67482,26,037
44991,26,057
46320,26,063
53972,26,091
49663,26,105
47000,26,117
50117,26,149
55240,26,147
69434,26,161
40769,26,011
53571,26,027
38918,26,071
40302,26,143
45321,26,163
50536,26,023
51431,26,075
46507,26,097
52589,26,009
42852,26,061
42102,26,069
34631,26,085
42305,26,119
46439,26,141
54431,26,077
44460,26,107
50771,26,103
46724,26,123
42689,26,133
52645,26,137
47426,26,025
46161,26,031
42255,26,095
60351,26,081
60466,26,099
46919,26,145
54742,26,155
42444,26,013
48005,26,017
53207,26,029
62474,26,045
46490,26,041
38798,26,053
54055,26,047
31023,05,147
43391,05,023
42460,05,025
33174,05,067
41355,05,057
33708,05,135
36162,05,137
49629,05,143
41481,05,005
39635,05,003
45868,05,031
47497,05,055
32412,05,073
46071,05,105
29263,05,107
39277,05,111
46667,05,133
42361,05,149
44022,05,013
39752,05,019
39510,05,011
35190,05,095
37035,05,113
34887,05,103
39896,05,101
45388,05,081
43505,05,015
41903,05,091
42475,06,033
51199,06,043
52624,06,115
93712,06,013
56362,06,035
71657,06,083
76753,06,097
45834,06,025
63018,06,051
92574,06,001
63902,06,067
84753,06,055
66676,06,053
48125,06,091
74855,06,073
65923,06,113
45528,06,023
64688,06,003
49233,06,045
78041,06,087
64251,06,037
63948,06,065
116178,06,085
110217,06,041
44200,06,093
50905,06,089
45258,06,015
47395,06,021
48443,06,007
53270,06,063
70699,06,079
52479,06,029
85398,06,059
58151,06,009
56955,06,101
113776,06,081
56493,06,109
61145,06,077
61198,06,005
50724,08,095
50753,08,007
63793,08,031
39784,08,061
36705,08,055
37500,08,009
54580,08,015
75120,08,047
51046,08,063
72898,08,045
54979,08,051
78943,08,059
61058,08,079
62230,08,091
55543,08,103
45188,08,115
34746,08,021
30593,08,023
67575,08,001
84685,08,037
46918,08,065
52807,08,081
71244,08,097
55227,08,017
37586,08,025
41714,08,033
48828,08,057
67664,08,069
46797,08,083
64478,08,113
78642,08,013
41945,08,071
48394,08,125
74273,08,107
77589,08,117
69936,08,019
44512,08,029
44634,08,101
51626,08,087
66861,08,093
53683,08,077
40097,08,099
65334,08,041
49375,08,121
73925,08,005
89624,08,014
67128,09,009
72321,09,003
64774,09,015
84761,09,007
84916,09,013
70996,10,003
60853,10,005
82604,11,001
62048,12,091
36934,12,123
37188,12,133
53473,12,031
46197,12,007
54359,12,009
62653,12,019
39543,12,067
51884,12,069
66297,12,089
51454,12,103
48500,12,105
49373,12,111
39879,12,043
40728,12,051
52336,12,061
39002,12,063
59943,12,099
77323,12,109
63760,12,117
48982,12,086
51829,12,005
53872,12,035
42855,12,037
34583,12,047
37363,12,077
55228,12,119
40922,12,039
38608,12,059
54691,12,071
43361,12,083
65675,12,021
54335,12,095
50417,12,101
37314,12,055
42686,12,121
35057,12,027
38609,12,013
44491,12,023
38237,12,029
35649,12,107
41770,12,125
56036,12,081
37634,12,075
61769,12,003
