STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_mar,county,state,fips
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/14/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/15/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/16/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/17/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/18/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/19/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/20/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/21/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/22/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/23/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/24/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/25/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/26/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/27/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/28/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/29/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/30/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/31/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/2/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/3/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/4/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/5/20,,,,,
